"gamma","lambda_0","theta"
17.8183782846181,14.192036589695,1.25437446398544
16.9562765938701,14.6727392622479,1.28195767209892
16.5499835335872,14.3375044636829,1.24168787512066
15.8121566351587,15.1371982411259,1.26345535549376
16.5487346667916,14.4695204254233,1.17609083752661
16.565999801975,14.6338275543109,1.23546612475157
17.7417114185428,14.8341013095121,1.38547921844119
15.836784170172,14.5784093484864,1.09437521563343
16.7266013917659,14.6177590394802,1.25409394738436
17.1778692618555,14.7148650509299,1.33526485081032
16.4268645738858,14.4106749886326,1.21409060438156
18.1619149022417,14.1519089541488,1.30993488512818
18.3878909535157,14.6207015941442,1.39369657974376
17.2980813121926,14.4687309508158,1.28590725049795
16.30618307485,15.1175393475522,1.2827289564056
17.641650184544,14.4012316544748,1.3017152313501
18.7531314733087,16.2056589698696,1.71013803150997
18.3584925083166,14.5010767005956,1.33551417628843
18.1176687923854,14.4294323334238,1.26681365929576
17.0284994788103,13.66195931924,1.06310150410968
15.8922967466869,14.6129284109154,1.16537613188809
17.4206713315323,14.4115879176347,1.24056570805341
18.2798499027295,14.1037109152822,1.20338507927222
18.5505604966898,13.8827361459868,1.22400609898415
15.8473840372052,15.0943036950918,1.26441829101213
17.1272786006542,14.9264823947235,1.37377662778476
18.1650902632726,14.5946226632236,1.37732887278794
17.9177494690188,14.4024311125179,1.2976436589591
16.4710831166127,14.3987984886029,1.17592886137716
16.0538631026067,14.8880220885367,1.26858790427675
16.8515698425751,14.4183016841831,1.23254462101393
16.2696009834164,14.6695476586414,1.24637498615381
16.5476720748778,14.7572621372892,1.26170096427446
17.312815095341,14.4524442168181,1.2367631542799
18.2330910089243,14.4652784373025,1.31295153601216
16.7134623859366,14.3054397520588,1.15760882938881
16.9379389408077,14.4703871396965,1.23080460150295
18.0965141181044,14.1370465172954,1.2322515093278
16.4495565407859,15.1544203746995,1.31682990785108
17.194319129836,14.2764623940496,1.28794761520599
17.6436274191592,14.2341213930726,1.32642794833909
19.1209956778494,15.3881988728203,1.57634578728035
18.3239631657454,14.4377147381315,1.36160026978791
16.0940084115069,14.1688473198235,1.06140262515141
16.4210930416064,14.8950204775291,1.33039376861079
16.8000548512128,15.4112110079549,1.38327023872739
16.8436561001572,14.7677940418017,1.39135776304567
16.3335647295622,14.4254372158278,1.20270534596112
