"","s_10","s_20","s_30","s_40","gamma","lambda_0","theta"
"134",-1.20169079778004,-1.82915480188907,-2.07353823550592,-2.14032001265242,30.6666666666667,5.91666666666667,1.25
"135",-1.17998936581827,-1.82536994647376,-2.07558250497036,-2.14369865295808,33,5.91666666666667,1.25
"136",-1.15606778015653,-1.81936001715052,-2.07540238770503,-2.14484616427883,35.3333333333333,5.91666666666667,1.25
"137",-1.1301474800754,-1.81134703463353,-2.07321983553965,-2.14398530298362,37.6666666666667,5.91666666666667,1.25
"138",-1.10241772923528,-1.80152075025742,-2.06922454059893,-2.14130643496165,40,5.91666666666667,1.25
"139",-1.07304162882443,-1.79004467795275,-2.06357996555857,-2.13697359231837,42.3333333333333,5.91666666666667,1.25
"140",-1.0421607787643,-1.77706076981485,-2.05642801785957,-2.13112916772382,44.6666666666667,5.91666666666667,1.25
"141",-1.00989893783981,-1.76269308734084,-2.04789271986673,-2.12389760011323,47,5.91666666666667,1.25
"142",-0.97636493139965,-1.74705071782371,-2.0380831243951,-2.11538830235966,49.3333333333333,5.91666666666667,1.25
"143",-0.941654985821278,-1.73023011569789,-2.02709565535158,-2.10569801151409,51.6666666666667,5.91666666666667,1.25
"144",-0.905854620866514,-1.71231700039584,-2.01501600501518,-2.09491269374873,54,5.91666666666667,1.25
"145",-0.869040197218646,-1.69338790832374,-2.00192068553752,-2.08310910203253,56.3333333333333,5.91666666666667,1.25
"146",-0.83128019230779,-1.67351147229891,-1.98787830798551,-2.07035606019269,58.6666666666667,5.91666666666667,1.25
"147",-0.792636260001035,-1.65274948420246,-1.97295064466394,-2.05671552934868,61,5.91666666666667,1.25
"148",-0.753164116861755,-1.63115778368605,-1.95719351754467,-2.0422434997343,63.3333333333333,5.91666666666667,1.25
"149",-0.712914288117912,-1.60878700617578,-1.9406575460356,-2.02699074128565,65.6666666666667,5.91666666666667,1.25
"150",-0.671932739293491,-1.58568321620735,-1.92338878011603,-2.0110034391334,68,5.91666666666667,1.25
"151",-1.27018568418877,-1.76279584772622,-1.96355370292664,-2.01975938623591,12,6.5,1.25
"152",-1.2794720322752,-1.79008247440523,-1.99665999836939,-2.05431629942362,14.3333333333333,6.5,1.25
"153",-1.2821458972111,-1.81073806701249,-2.02313718394707,-2.08221819852685,16.6666666666667,6.5,1.25
"154",-1.27933530122139,-1.82589430452335,-2.04411663955922,-2.10460163347313,19,6.5,1.25
"155",-1.27189592601107,-1.83640956497674,-2.06045650824763,-2.1223285466853,21.3333333333333,6.5,1.25
"156",-1.26049332860867,-1.84295144795053,-2.07282420161508,-2.13606921926342,23.6666666666667,6.5,1.25
"157",-1.2456560691488,-1.84605009602066,-2.08174970954519,-2.14635585819424,26,6.5,1.25
"158",-1.22781134958266,-1.84613396064039,-2.08766135779012,-2.15361853558753,28.3333333333333,6.5,1.25
"159",-1.20730968189946,-1.84355455662457,-2.090910556464,-2.15821006004078,30.6666666666667,6.5,1.25
"160",-1.18444242474433,-1.83860405892866,-2.09178939240584,-2.16042365447039,33,6.5,1.25
"161",-1.15945454040555,-1.83152810260983,-2.09054342582713,-2.16050581366188,35.3333333333333,6.5,1.25
"162",-1.13255406284592,-1.8225352822031,-2.08738118716231,-2.15866584544116,37.6666666666667,6.5,1.25
"163",-1.10391924976117,-1.81180432706615,-2.08248135046089,-2.15508307692388,40,6.5,1.25
"164",-1.07370407031909,-1.79948960670292,-2.07599823718229,-2.14991238307263,42.3333333333333,6.5,1.25
"165",-1.04204247507642,-1.78572541415387,-2.06806609837522,-2.14328848781488,44.6666666666667,6.5,1.25
"166",-1.00905176026821,-1.77062934074534,-2.0588024884579,-2.1353293525,47,6.5,1.25
"167",-0.97483524876379,-1.75430496526233,-2.04831095360789,-2.12613887580032,49.3333333333333,6.5,1.25
"168",-0.939484448585954,-1.73684401899281,-2.03668319616809,-2.11580906724407,51.6666666666667,6.5,1.25
"169",-0.903080807194223,-1.71832814524354,-2.02400083363821,-2.10442181351534,54,6.5,1.25
"170",-0.865697149550057,-1.69883034163943,-2.01033684054008,-2.09205032622545,56.3333333333333,6.5,1.25
"171",-0.827398866322551,-1.67841615178397,-1.99575673971624,-2.07876033802431,58.6666666666667,6.5,1.25
"172",-0.788244902836029,-1.65714465704731,-1.98031959381462,-2.06461109803722,61,6.5,1.25
"173",-0.74828858775159,-1.63506930759987,-1.96407883606611,-2.04965620591132,63.3333333333333,6.5,1.25
"174",-0.707578331821568,-1.61223862312721,-1.94708297078222,-2.03394431503494,65.6666666666667,6.5,1.25
"175",-0.666158220535996,-1.58869678712071,-1.92937616746042,-2.01751972892319,68,6.5,1.25
"176",-1.28887147958964,-1.79027960439167,-1.99400464884234,-2.05074959880066,12,7.08333333333333,1.25
"177",-1.29522500711977,-1.81463021869387,-2.02417576433019,-2.08236721923807,14.3333333333333,7.08333333333333,1.25
"178",-1.29541472202898,-1.83279942701778,-2.04816724740537,-2.10778059857161,16.6666666666667,7.08333333333333,1.25
