"gamma","lambda_0","theta","boundary","theta.hat","lambda.hat","s"
4,24.2752002359067,2.20790305905691,1,2.20870971679688,26.1964576608957,10
4,23.8790131688174,2.18940101945948,1,2.197265625,25.8911589215547,10
4,23.7788298606107,2.17757238507381,1,2.18582153320312,25.8338490134126,10
4,24.0080846950251,2.20541077091569,1,2.2125244140625,26.0248643523893,10
4,23.9329321564868,2.19786677718724,1,2.2125244140625,26.0897457796787,10
4,23.7172377431728,2.18055656551412,1,2.18963623046875,25.7939829321975,10
4,24.0954826023537,2.19204080724271,1,2.18963623046875,25.9394365666138,10
4,23.5604441699725,2.16471891307369,1,2.18582153320312,25.8278973338497,10
4,24.291099347728,2.21647344932683,1,2.2125244140625,26.140545408057,10
4,24.0178094742088,2.1957173757872,1,2.20870971679688,26.1617370488842,10
4,23.8875561230428,2.18841667605352,1,2.20108032226562,25.973671941686,10
4,23.5931915301776,2.16484094697587,1,2.1820068359375,25.7492475615528,10
4,23.9294702984286,2.18549674305862,1,2.19345092773438,25.9731767450837,10
4,23.824021850039,2.19003735203766,1,2.20108032226562,25.9600350620192,10
4,23.620274452287,2.17870289859968,1,2.197265625,25.8831749919911,10
4,23.9158941355983,2.19542827564945,1,2.20108032226562,25.8994964278546,10
4,23.5838217412569,2.1788384625775,1,2.197265625,25.8003200361739,10
4,24.0600142290202,2.20511573389755,1,2.21633911132812,26.1716956587468,10
4,23.9425316593695,2.19550763410177,1,2.20870971679688,26.0613485055629,10
4,23.8328891955255,2.19918025291985,1,2.2125244140625,25.9588759555409,10
4,23.9768937400634,2.19491631029307,1,2.197265625,25.9350442676592,10
4,23.7362756369986,2.17548912118831,1,2.18963623046875,25.8595030992636,10
4,24.1880870463482,2.20863232241728,1,2.2125244140625,26.1815780956243,10
4,24.0761712276404,2.20017790830557,1,2.20870971679688,26.1239246484675,10
4,23.9620402312856,2.1914857866557,1,2.20489501953125,26.1150831933207,10
4,24.1177009439949,2.19877202670551,1,2.19345092773438,25.9650660362159,10
4,23.8092107833202,2.18602345185428,1,2.20489501953125,25.99616158976,10
4,24.0908235733635,2.21139465615898,1,2.22015380859375,26.1104967442103,10
4,24.0908639789684,2.20091739372309,1,2.197265625,25.9225832868429,10
4,24.0562066761596,2.1968686003765,1,2.19345092773438,25.8918747149066,10
4,23.8829380239915,2.17997568612836,1,2.18582153320312,25.8778631005485,10
4,23.7985485882615,2.18322061271459,1,2.19345092773438,25.8750580262694,10
4,24.0333478262064,2.19794083272865,1,2.20870971679688,26.1565974163641,10
4,24.0865210391211,2.20720548031094,1,2.20870971679688,26.0367134601991,10
4,23.7129252532411,2.19011297254616,1,2.20108032226562,25.8036443351637,10
4,24.0339994193121,2.18939650324758,1,2.197265625,26.0667305013385,10
4,23.5679911785417,2.15811571440212,1,2.17437744140625,25.7454485764895,10
4,23.8420582326497,2.17902942981682,1,2.18963623046875,25.9050747893044,10
