"gamma","lambda_0","theta","negLogLik"
34.3428571428571,6.88857142857143,1.25,-1.99501980229451
36.6057142857143,6.88857142857143,1.25,-1.98678986840277
38.8685714285714,6.88857142857143,1.25,-1.97650421853993
41.1314285714286,6.88857142857143,1.25,-1.96434813921044
43.3942857142857,6.88857142857143,1.25,-1.95048267909252
45.6571428571429,6.88857142857143,1.25,-1.93504872796699
47.92,6.88857142857143,1.25,-1.91817026832378
50.1828571428571,6.88857142857143,1.25,-1.89995699383594
52.4457142857143,6.88857142857143,1.25,-1.88050643757952
54.7085714285714,6.88857142857143,1.25,-1.85990571652923
56.9714285714286,6.88857142857143,1.25,-1.83823297272931
59.2342857142857,6.88857142857143,1.25,-1.81555857250118
61.4971428571428,6.88857142857143,1.25,-1.79194611100411
63.76,6.88857142857143,1.25,-1.76745325898532
66.0228571428571,6.88857142857143,1.25,-1.74213248065244
68.2857142857143,6.88857142857143,1.25,-1.71603164558139
70.5485714285714,6.88857142857143,1.25,-1.68919455294622
72.8114285714286,6.88857142857143,1.25,-1.66166138277012
75.0742857142857,6.88857142857143,1.25,-1.63346908609364
77.3371428571429,6.88857142857143,1.25,-1.6046517237484
79.6,6.88857142857143,1.25,-1.57524076167438
0.4,7.45428571428571,1.25,-1.5426874635778
2.66285714285714,7.45428571428571,1.25,-1.65856166888898
4.92571428571429,7.45428571428571,1.25,-1.74583776177192
7.18857142857143,7.45428571428571,1.25,-1.81316021690274
9.45142857142857,7.45428571428571,1.25,-1.86570372787347
11.7142857142857,7.45428571428571,1.25,-1.90682841509309
13.9771428571429,7.45428571428571,1.25,-1.93884733180772
16.24,7.45428571428571,1.25,-1.96342456108739
18.5028571428571,7.45428571428571,1.25,-1.98179941270014
20.7657142857143,7.45428571428571,1.25,-1.99492093131915
23.0285714285714,7.45428571428571,1.25,-2.00353275965791
25.2914285714286,7.45428571428571,1.25,-2.00822892307928
27.5542857142857,7.45428571428571,1.25,-2.00949177389138
29.8171428571429,7.45428571428571,1.25,-2.00771855769828
32.08,7.45428571428571,1.25,-2.00324048046473
