"gamma","lambda_0","theta","ave_neg_lik","s"
1,2.6,0.1,1.25240604377435,1
1.075,2.6,0.1,1.26983374274088,1
1.15,2.6,0.1,1.28742959252923,1
1.225,2.6,0.1,1.30518797191238,1
1.3,2.6,0.1,1.3231035489571,1
1.375,2.6,0.1,1.34117126102699,1
1.45,2.6,0.1,1.35938629651074,1
1.525,2.6,0.1,1.3777440780982,1
1.6,2.6,0.1,1.39624024744783,1
1.675,2.6,0.1,1.41487065110746,1
1.75,2.6,0.1,1.43363132756603,1
1.825,2.6,0.1,1.45251849532779,1
1.9,2.6,0.1,1.47152854191274,1
0.1,2.75,0.1,1.11630017382346,1
0.175,2.75,0.1,1.13183695431387,1
0.25,2.75,0.1,1.14761554861143,1
0.325,2.75,0.1,1.16362598539214,1
0.4,2.75,0.1,1.17985892632816,1
0.475,2.75,0.1,1.19630561223381,1
0.55,2.75,0.1,1.21295781491321,1
0.625,2.75,0.1,1.22980779399203,1
0.7,2.75,0.1,1.24684825811993,1
0.775,2.75,0.1,1.26407233001735,1
0.85,2.75,0.1,1.28147351491326,1
0.925,2.75,0.1,1.29904567198218,1
1,2.75,0.1,1.31678298844127,1
1.075,2.75,0.1,1.33467995601212,1
1.15,2.75,0.1,1.35273134949009,1
1.225,2.75,0.1,1.37093220719631,1
1.3,2.75,0.1,1.38927781311498,1
1.375,2.75,0.1,1.4077636805428,1
1.45,2.75,0.1,1.42638553709774,1
1.525,2.75,0.1,1.44513931095228,1
1.6,2.75,0.1,1.46402111817178,1
1.675,2.75,0.1,1.48302725105197,1
1.75,2.75,0.1,1.5021541673615,1
1.825,2.75,0.1,1.52139848040559,1
1.9,2.75,0.1,1.54075694983587,1
0.1,2.9,0.1,1.1765317217577,1
0.175,2.9,0.1,1.19270632094691,1
0.25,2.9,0.1,1.20909948356354,1
0.325,2.9,0.1,1.22570262427823,1
0.4,2.9,0.1,1.24250767753964,1
0.475,2.9,0.1,1.25950705535373,1
0.55,2.9,0.1,1.27669360933531,1
0.625,2.9,0.1,1.29406059651743,1
0.7,2.9,0.1,1.31160164847565,1
0.775,2.9,0.1,1.32931074338468,1
0.85,2.9,0.1,1.34718218067553,1
0.925,2.9,0.1,1.36521055800493,1
1,2.9,0.1,1.38339075028547,1
1.075,2.9,0.1,1.40171789055668,1
1.15,2.9,0.1,1.4201873525043,1
1.225,2.9,0.1,1.43879473445826,1
1.3,2.9,0.1,1.45753584472025,1
1.375,2.9,0.1,1.47640668808884,1
1.45,2.9,0.1,1.4954034534656,1
1.525,2.9,0.1,1.51452250243859,1
1.6,2.9,0.1,1.53376035875114,1
1.675,2.9,0.1,1.55311369857396,1
1.75,2.9,0.1,1.57257934150728,1
1.825,2.9,0.1,1.59215424224764,1
1.9,2.9,0.1,1.6118354828605,1
0.1,3.05,0.1,1.23935580870831,1
0.175,3.05,0.1,1.25610749208284,1
0.25,3.05,0.1,1.27305768795585,1
0.325,3.05,0.1,1.29019895153332,1
0.4,3.05,0.1,1.30752426880447,1
0.475,3.05,0.1,1.32502702306476,1
0.55,3.05,0.1,1.34270096468269,1
0.625,3.05,0.1,1.36054018373628,1
0.7,3.05,0.1,1.37853908519461,1
0.775,3.05,0.1,1.3966923663624,1
0.85,3.05,0.1,1.41499499634167,1
0.925,3.05,0.1,1.43344219729531,1
1,3.05,0.1,1.45202942732404,1
1.075,3.05,0.1,1.47075236479098,1
1.15,3.05,0.1,1.48960689394785,1
1.225,3.05,0.1,1.5085890917336,1
1.3,3.05,0.1,1.52769521563142,1
1.375,3.05,0.1,1.5469216924828,1
1.45,3.05,0.1,1.56626510816837,1
1.525,3.05,0.1,1.58572219807545,1
1.6,3.05,0.1,1.60528983828048,1
1.675,3.05,0.1,1.62496503738231,1
1.75,3.05,0.1,1.64474492892893,1
1.825,3.05,0.1,1.66462676438596,1
1.9,3.05,0.1,1.68460790660072,1
0.1,3.2,0.1,1.30452711598695,1
0.175,3.2,0.1,1.32180343086328,1
0.25,3.2,0.1,1.33926084547923,1
0.325,3.2,0.1,1.35689286214491,1
0.4,3.2,0.1,1.37469334321973,1
0.475,3.2,0.1,1.39265648429311,1
0.55,3.2,0.1,1.41077678985842,1
0.625,3.2,0.1,1.4290490512037,1
0.7,3.2,0.1,1.44746832627854,1
0.775,3.2,0.1,1.46602992132629,1
